age,income,daily_gaming_hours,weekly_sessions,years_gaming,sleep_hours,caffeine_intake,exercise_hours,stress_level,anxiety_score,depression_score,social_interaction_score,relationship_satisfaction,academic_performance,work_productivity,addiction_level,multiplayer_ratio,toxic_exposure,violent_games_ratio,mobile_gaming_ratio,night_gaming_ratio,weekend_gaming_hours,friends_gaming_count,online_friends,streaming_hours,esports_interest,headset_usage,microtransactions_spending,parental_supervision,loneliness_score,aggression_score,happiness_score,bmi,screen_time_total,eye_strain_score,back_pain_score,competitive_rank,internet_quality,gaming_intensity_index,online_social_ratio,gaming_screen_share,mental_burden_index,gender_Female,gender_Male,gender_Other
51.0,8615.0,3.68,22.0,17.0,5.26,1.0,0.18,3.0,4.06,5.02,7.85,9.55,68.8,77.12,2.02,0.39,0.05,0.51,0.23,0.32,1.5,20.0,186.0,2.82,1.0,1.0,1746.97,0.0,2.87,3.19,5.2,19.69,4.71,5.71,4.81,80.0,10.0,2.842857142857143,8.857142857142858,0.7813161823107894,4.026666666666666,1,0,0
41.0,39453.0,5.7,34.0,16.0,9.2,0.7,1.44,8.0,6.76,7.63,7.06,6.96,38.11,44.94,5.85,0.23,0.37,0.43,0.24,0.32,17.93,37.0,21.0,1.34,8.0,1.0,342.04,7.0,4.17,7.73,5.4,26.37,6.62,6.77,3.99,57.0,2.0,6.632857142857143,0.5526315789473685,0.8610270602678156,7.463333333333334,1,0,0
27.0,40466.0,1.58,8.0,22.0,7.39,2.24,3.15,3.0,9.57,4.02,1.12,2.61,97.44,54.77,0.08,0.06,0.15,0.48,0.27,0.42,2.99,45.0,146.0,3.56,8.0,1.0,57.95,9.0,9.38,2.85,5.17,25.15,9.3,2.16,4.75,59.0,10.0,1.5557142857142858,3.1739130434782608,0.16989245485027368,5.53,0,1,0
55.0,51076.0,6.11,39.0,24.0,7.99,1.65,2.8,1.0,4.97,1.4,6.59,6.0,67.65,88.56,2.77,0.53,0.36,0.64,0.57,0.82,1.99,11.0,133.0,1.8,6.0,1.0,617.32,5.0,8.24,7.19,8.62,26.42,13.81,4.72,5.37,89.0,1.0,4.648571428571429,11.083333333333334,0.4424329875139039,2.4566666666666666,0,1,0
20.0,86116.0,3.65,17.0,0.0,7.12,1.02,1.01,2.0,8.73,4.83,6.03,3.54,62.34,68.82,3.37,0.78,0.25,0.29,0.47,0.83,9.23,24.0,399.0,1.3,4.0,0.0,1398.39,9.0,6.65,2.53,9.71,25.75,10.74,3.9,6.44,15.0,10.0,3.9257142857142857,15.96,0.3398509925650845,5.1866666666666665,0,1,0
33.0,107013.0,1.97,34.0,19.0,7.51,0.09,2.33,4.0,2.47,4.32,6.28,9.63,80.06,82.63,1.34,0.37,0.52,0.68,0.55,0.93,3.62,19.0,240.0,1.01,9.0,1.0,876.42,3.0,5.57,7.82,4.39,16.61,12.66,7.87,4.56,31.0,4.0,1.9242857142857142,12.0,0.1556082025585938,3.596666666666667,1,0,0
51.0,54483.0,3.15,37.0,3.0,6.42,1.13,0.78,6.0,5.96,0.0,3.08,1.22,73.45,72.2,2.33,0.7,0.33,0.13,0.87,0.4,2.43,26.0,82.0,0.8,7.0,0.0,119.26,9.0,3.32,4.31,5.58,29.69,9.57,2.72,1.59,79.0,4.0,2.597142857142857,3.037037037037037,0.32915357062136147,3.986666666666667,1,0,0
31.0,70054.0,2.61,31.0,0.0,8.45,4.8,2.59,10.0,5.43,3.74,3.19,3.87,89.32,54.98,0.67,0.3,0.16,0.22,0.74,0.45,2.53,40.0,299.0,1.27,9.0,0.0,1316.03,3.0,5.96,5.52,5.43,19.54,4.24,6.97,3.7,74.0,1.0,2.2257142857142855,7.2926829268292686,0.615565892555214,6.390000000000001,0,1,0
35.0,39958.0,1.34,15.0,2.0,6.14,5.18,0.47,8.0,3.7,4.0,6.36,4.89,90.92,100.0,2.51,0.72,0.39,0.82,0.29,0.17,6.93,4.0,378.0,0.99,3.0,0.0,77.7,0.0,0.91,7.1,5.75,22.52,3.69,3.9,6.47,14.0,9.0,1.947142857142857,75.6,0.3631435330234328,5.233333333333333,0,0,1
23.0,19047.0,2.52,1.0,4.0,5.11,4.49,0.62,4.0,5.66,3.37,8.77,5.44,66.69,68.2,1.64,0.71,0.13,0.43,0.22,0.55,13.29,9.0,303.0,1.63,7.0,1.0,808.5,1.0,2.92,4.73,3.97,20.66,5.09,4.18,6.3,99.0,10.0,3.698571428571429,30.3,0.49508831137754195,4.343333333333334,1,0,0
23.0,21601.0,1.7,38.0,15.0,9.18,1.11,3.08,9.0,4.22,3.46,7.61,7.07,91.52,70.06,0.11,0.84,0.49,0.23,0.64,0.94,8.12,40.0,203.0,0.14,5.0,1.0,442.32,3.0,5.49,3.9,3.8,24.2,5.17,4.85,2.55,54.0,5.0,2.374285714285714,4.951219512195122,0.32882005245260104,5.56,0,1,0
36.0,128499.0,4.02,33.0,15.0,8.77,2.63,0.39,6.0,4.25,4.99,6.84,2.78,60.42,84.34,4.5,0.48,0.13,0.72,0.39,0.71,10.33,35.0,368.0,1.67,7.0,1.0,293.84,0.0,7.62,2.97,7.62,25.24,8.62,4.63,7.16,27.0,10.0,4.347142857142857,10.222222222222221,0.46635725448291715,5.08,0,1,0
48.0,142055.0,1.16,8.0,8.0,6.92,0.38,0.8,5.0,6.6,5.39,7.64,5.67,97.99,86.27,0.05,0.85,0.34,0.25,0.57,0.48,5.74,25.0,400.0,0.76,9.0,1.0,709.16,9.0,3.01,4.54,5.22,18.09,11.32,4.17,6.14,5.0,7.0,1.6485714285714284,15.384615384615385,0.10247348918078718,5.663333333333333,1,0,0
52.0,120251.0,2.49,8.0,6.0,6.51,0.17,0.19,9.0,6.89,2.0,2.94,7.22,80.69,66.3,2.79,0.74,0.48,0.42,0.94,0.68,0.91,34.0,153.0,0.81,8.0,1.0,614.31,8.0,10.0,3.12,3.36,15.53,4.85,3.41,4.5,36.0,4.0,1.9085714285714288,4.371428571428571,0.5134019559995968,5.963333333333334,0,1,0
36.0,51636.0,0.8,31.0,5.0,7.91,4.15,2.0,7.0,3.55,2.44,5.29,5.62,41.96,62.29,0.95,0.3,0.13,0.41,0.39,0.43,2.05,33.0,106.0,1.58,10.0,1.0,96.99,5.0,5.06,5.72,5.32,19.95,5.14,6.27,1.17,50.0,2.0,0.8642857142857142,3.1176470588235294,0.15564199306576013,4.33,0,1,0
15.0,137088.0,12.97,13.0,9.0,7.45,0.32,0.77,1.0,5.29,5.49,9.03,7.66,62.33,44.91,7.83,0.11,0.36,0.24,0.15,0.42,3.42,46.0,275.0,7.11,6.0,1.0,195.81,3.0,8.2,9.64,5.94,17.84,18.2,1.3,1.77,72.0,8.0,9.752857142857144,5.851063829787234,0.7126373234814658,3.926666666666667,1,0,0
34.0,70847.0,3.72,32.0,5.0,9.41,1.58,0.14,2.0,3.22,4.96,7.52,6.53,61.88,57.99,4.06,0.13,0.02,0.48,0.44,0.57,7.14,36.0,395.0,0.65,1.0,0.0,91.41,2.0,4.75,9.04,6.7,26.46,5.74,4.37,5.07,61.0,2.0,3.6771428571428575,10.675675675675675,0.6480835107868448,3.393333333333333,0,1,0
14.0,51846.0,4.37,8.0,5.0,6.38,0.42,0.47,4.0,7.42,10.0,3.21,5.85,72.21,71.83,2.95,0.33,0.19,0.27,0.67,0.16,0.53,46.0,450.0,3.4,10.0,1.0,67.78,7.0,6.24,6.78,2.78,33.6,11.38,4.35,1.85,72.0,8.0,3.1971428571428575,9.574468085106384,0.3840069961329529,7.140000000000001,1,0,0
36.0,72587.0,1.18,5.0,5.0,6.27,0.89,3.8,5.0,5.08,7.17,4.87,3.4,66.92,67.43,0.06,0.59,0.19,0.36,0.73,0.73,2.33,4.0,222.0,1.87,0.0,0.0,72.61,4.0,7.44,3.52,3.79,27.2,12.21,7.08,0.0,95.0,1.0,1.1757142857142857,44.4,0.09664208872710166,5.75,1,0,0
56.0,117567.0,5.89,26.0,4.0,9.55,3.72,1.94,8.0,6.44,4.13,6.02,6.44,74.68,65.41,6.08,0.67,0.19,0.67,0.27,0.17,8.7,20.0,386.0,0.83,0.0,0.0,948.35,10.0,10.0,7.83,7.99,20.85,10.36,5.75,4.12,31.0,9.0,5.45,18.38095238095238,0.5685327636551387,6.19,0,1,0
42.0,39602.0,2.15,17.0,1.0,6.41,1.11,6.58,3.0,5.31,0.28,7.44,7.18,64.77,77.29,2.13,0.29,0.37,0.39,0.75,0.62,13.39,43.0,242.0,0.22,5.0,1.0,300.36,4.0,6.77,7.11,2.47,18.07,4.51,4.36,2.48,32.0,3.0,3.448571428571429,5.5,0.4767182978451668,2.8633333333333333,1,0,0
50.0,46441.0,7.48,36.0,13.0,6.98,4.25,1.0,10.0,3.19,7.88,7.5,6.59,80.21,32.71,5.75,0.51,0.5,0.17,0.54,0.55,4.69,19.0,437.0,0.62,3.0,0.0,202.18,8.0,6.08,3.78,6.24,23.06,9.12,0.0,2.42,9.0,4.0,6.012857142857143,21.85,0.8201753486649839,7.023333333333333,0,1,0
14.0,35076.0,1.14,34.0,5.0,6.63,3.42,0.29,10.0,5.87,6.21,4.46,8.64,63.14,88.84,2.28,0.56,0.13,0.46,0.15,0.56,9.93,16.0,330.0,7.56,8.0,1.0,318.62,8.0,6.13,6.14,8.34,25.09,5.0,4.93,5.13,87.0,3.0,2.2328571428571427,19.41176470588235,0.22799995440000909,7.359999999999999,0,1,0
33.0,76076.0,3.46,26.0,9.0,8.22,0.31,4.15,6.0,6.46,4.12,2.55,5.04,69.93,100.0,4.49,0.87,0.13,0.37,0.86,0.72,2.78,12.0,282.0,1.26,9.0,1.0,320.35,8.0,6.73,5.52,7.18,21.58,7.29,4.1,4.57,3.0,8.0,2.8685714285714288,21.692307692307693,0.47462270581307187,5.526666666666666,1,0,0
45.0,32392.0,4.51,24.0,23.0,6.88,3.26,0.03,10.0,3.63,6.27,3.76,4.78,54.98,74.4,4.78,0.66,0.12,0.65,0.68,0.86,2.86,26.0,285.0,0.75,6.0,1.0,811.78,1.0,7.7,1.66,6.39,30.94,16.16,1.4,3.26,24.0,4.0,3.6299999999999994,10.555555555555555,0.27908414114578334,6.633333333333333,0,1,0
